Case ID,Closeness Centrality,Eigenvector Centrality,Betweenness Centrality
97522,0.214694819,0.001318817,9.53E-06
97523,0.216503331,0.001289822,5.04E-05
97524,0.163089874,2.78E-06,5.06E-08
97525,0.22275016,0.001847199,0.000139
97527,0.187072462,5.74E-05,1.45E-05
97528,0.183224474,3.49E-05,1.25E-06
97529,0.197956449,0.000112491,0.000111282
97530,0.187412719,6.12E-05,6.91E-06
97531,0.227855679,0.004876789,6.57E-05
97532,3.01E-05,4.79E-48,0
97533,0.187282295,0.000114736,1.20E-05
97534,0.210140734,0.000946438,3.04E-05
97535,0.208952522,0.000258786,0.000116251
97536,0.19471441,8.79E-05,5.35E-06
97537,0.15768776,6.27E-07,3.86E-07
97538,0.227839792,0.004206468,3.41E-05
97539,0.207959012,0.000867743,0
97540,0.21463237,0.000930956,0.000104169
97541,0.20832454,0.002304984,2.55E-05
97542,0.194020759,9.49E-05,0
97543,0.171054906,6.72E-06,6.17E-07
97544,0.185065569,4.38E-05,3.90E-07
97545,0.139211394,8.58E-08,4.99E-05
97546,0.189282985,7.08E-05,3.14E-05
97547,0,0,0
97548,0.182956294,3.16E-05,1.71E-05
97549,0.226116856,0.002166412,8.42E-05
97550,0.216261801,0.003400826,2.00E-05
97551,0.215808854,0.001826152,4.80E-05
97552,0.213606188,0.002149132,5.83E-05
97553,0.216433683,0.002580912,5.45E-05
97554,0.202755382,0.000412978,7.68E-06
97555,0.177029265,1.46E-05,1.89E-07
97556,0.178613389,1.52E-05,3.96E-05
97557,0.220400045,0.00149011,3.93E-05
97558,0.153352414,8.08E-07,4.94E-05
97559,0.205816571,0.000250759,4.43E-05
