,mod,wt,km_10,km_100,gmm_10,gmm_100
1723,1,2,2,76,1,97
2218550,126,2264,0,40,3,38
94913,0,47,9,41,9,93
94910,0,156,1,62,0,16
94911,126,2264,3,84,8,46
94916,23,199,7,84,8,84
94917,126,2264,0,40,1,38
94914,0,273,2,84,1,46
94915,0,1121,1,80,0,78
94918,0,12,2,49,1,44
94919,0,3,6,9,0,47
111009,2,1,2,49,1,44
111008,1,1,2,49,1,30
111003,1,5,2,69,3,94
111002,1,5,2,17,1,87
111001,0,10,2,84,1,46
111000,1,2,3,55,8,86
111007,0,36,0,23,3,18
111006,2,68,2,40,1,44
111005,1,2,2,81,1,73
111004,1,2,2,84,1,46
110758,1,5,2,75,1,26
110759,2,44,3,18,6,92
110750,1,5,6,95,8,23
110751,1,1,0,29,3,38
110752,2,30,3,61,8,86
110753,1,5,2,84,1,46
110754,1,2,2,84,1,44
110755,1,5,2,23,1,18
110756,2,1,2,84,1,46
110757,1,5,2,36,1,2
109634,0,36,2,84,1,46
109637,1,2,3,74,8,45
88885,2,276,3,77,8,63
88884,45,1473,2,84,1,21
88887,126,2264,9,41,9,76
88886,2,151,9,75,9,26
88881,126,2264,2,76,1,97
88880,126,2264,0,12,3,19
88883,2,200,2,15,3,18
88882,2,1479,0,29,1,19
88889,0,12,2,49,1,44
88888,126,2264,1,97,0,22
96668,0,52,0,29,3,19
96669,3,201,3,96,6,28
96662,0,12,3,45,8,45
96663,2,25,1,97,0,22
96660,2,3,4,44,7,8
96661,2,718,3,18,8,66
96666,2,20,3,84,1,46
96667,0,52,9,75,9,26
96664,2,13,3,32,8,42
96665,0,3,9,10,9,62
97391,126,2264,2,49,1,44
97390,0,52,2,84,1,46
97393,2,202,3,55,8,86
97392,0,203,2,74,1,45
97395,1,2,2,17,1,45
97394,2,204,2,83,1,0
97397,0,1,2,39,1,53
97396,0,3,2,40,1,38
97399,2,42,2,76,1,97
97398,2,30,3,39,8,53
94288,0,97,0,86,6,65
94282,3,1775,3,48,8,71
94283,2,13,2,17,1,2
94280,2,12,2,17,1,2
94281,3,161,2,1,1,87
94286,1,3,2,49,1,44
94287,2,90,3,73,3,40
94284,126,2264,2,49,1,87
94285,2,7,2,84,8,46
2512110,2,205,2,49,8,44
97535,0,116,2,92,1,46
97534,0,12,2,89,1,87
97537,2,206,2,15,1,44
97536,0,22,2,36,1,2
97531,1,3,0,3,3,69
97530,3,207,2,75,1,87
97533,1,208,2,76,1,97
97532,126,2264,3,69,3,10
97539,1,3,2,1,1,87
97538,1,1,2,49,1,44
94130,0,3,2,83,1,0
94131,0,48,2,19,1,66
94132,0,352,4,68,7,56
94133,2,3,9,75,9,26
94134,2,51,2,40,1,38
94135,2,2,2,36,1,2
94136,2,2,2,84,1,46
94137,2,115,2,76,1,87
94138,2,76,2,84,1,46
94139,2,730,2,40,1,87
102511,25,212,2,40,1,38
102510,2,213,2,17,1,64
102513,2,9,2,76,1,87
102512,0,12,2,50,1,31
102515,1,1,3,18,1,92
102514,2,1,4,95,7,23
102517,2,9,2,84,1,46
102516,126,2264,0,56,3,38
102519,0,21,2,36,1,87
102518,0,1,2,36,1,2
112648,1,1,3,45,1,45
104829,3,28,2,46,3,91
104828,0,21,2,68,1,13
