,km,mod,wt
111718,27,2,44
1232426,8,2,1386
89888,12,1,2
89889,4,0,22
89886,25,2,35
89887,27,126,2264
89884,23,0,655
89885,10,0,1
89882,4,126,2264
89883,11,2,7
89880,28,0,3
89881,28,3,1792
88374,2,0,1500
117922,12,2,1
117923,17,1,2
117920,12,1,1
117921,20,1,5
117926,17,2,1
117927,12,1,1
117924,4,1,5
117925,17,1,2
117928,3,0,1
117929,12,1,30
92907,4,0,47
92906,11,3,1880
92905,29,3,7
92904,4,3,2
92903,11,1,2
92902,17,2,432
92901,12,2,1881
92900,4,126,2264
92909,6,3,1882
92908,4,0,62
110040,6,1,1
110041,3,2,68
110042,17,1,5
110043,23,1,59
110044,20,1,5
110045,12,1,83
110046,17,0,22
110047,25,1,1
110048,12,0,1
110049,9,1,2
93052,17,1,5
93053,12,0,13
96022,18,0,3
93051,12,0,22
96024,29,2,50
93057,4,0,1
96026,11,0,479
96027,4,0,36
104319,12,3,567
104318,28,2,1
93058,23,2,338
93059,4,8,97
106229,23,0,12
106228,9,2,1
106223,14,1,5
106222,12,1,5
106221,14,1,5
106220,17,2,1
106227,12,2,10
106224,11,2,664
98354,12,2,1
98355,11,126,2264
98356,11,3,12
98357,12,2,1
98350,9,126,2264
98351,11,1,2
98352,11,0,12
98353,2,0,12
98358,3,2,1276
98359,28,0,1883
97373,4,1,12
97372,12,126,2264
97371,6,0,52
97370,17,0,215
97377,29,2,90
97376,11,2,242
105048,17,13,35
97374,17,1,3
105046,20,126,2264
105047,4,1,2
105044,3,1,5
105045,20,1,1
105042,27,126,2264
105043,11,1,2
105040,2,2,7
105041,20,3,543
107570,17,1,1
107571,9,1,59
107573,28,1,1
107574,17,28,250
107575,11,28,250
107576,2,0,10
107577,12,1,2
84825,8,126,2264
105598,12,0,1
105599,12,126,2264
84824,12,126,2264
105590,20,126,2264
105591,11,1,1
105592,17,126,2264
105594,11,1,2
105595,2,2,13
105596,4,1,3
105597,29,1,2
107682,9,0,21
107683,17,2,30
107680,17,1,5
107681,2,1,5
107686,12,1,2
107687,17,1,83
107684,2,1,2
107685,24,1,2
102061,17,1,2
107688,9,2,0
107689,23,1,5
102065,10,0,12
102064,28,0,3
102067,29,0,10
102066,17,0,12
98826,12,0,10
98827,11,126,2264
98824,12,126,2264
98825,11,0,3
112198,10,2,1
112199,17,2,30
98820,12,0,3
98821,2,0,12
112194,17,1,5
112195,4,1,5
112196,11,2,1
112197,9,2,1
98828,2,126,2264
98829,12,0,10
88195,17,126,2264
88194,17,2,1
108759,11,2,1
108758,17,1,2
108755,12,0,36
108754,6,0,36
108757,11,1,5
108756,4,99,1219
108751,11,1,5
108753,17,126,2264
108752,23,31,1
104889,11,1,5
104888,3,1,2
104881,10,2,1
104880,12,0,1
104883,18,126,2264
104882,2,0,52
104885,4,0,35
104884,28,1,1
104887,14,1,5
1101126,9,126,2264
108287,9,126,2264
108286,11,1,5
108285,17,1,5
108284,8,1,1
108283,4,1,1
108282,12,1,5
108281,17,1,5
108280,12,1,5
1655414,17,19,173
108289,17,126,2264
108288,28,7,1884
814955,12,85,1726
95966,4,0,105
107010,15,1,5
91029,28,2,13
91028,8,0,1303
106768,2,126,2264
106769,12,126,2264
91025,12,2,30
91024,2,3,933
91027,4,2,13
106765,12,126,2264
91021,3,16,1289
106763,11,2,8
91023,12,0,35
91022,2,2,1290
107015,2,1,2
92557,17,126,2264
95967,12,126,2264
109488,18,0,1
109489,9,1,1
109482,2,0,52
109483,12,2,7
109480,3,2,68
109481,12,2,1
109486,4,1,2
109487,11,0,1
109484,3,0,1885
109485,2,1,1
105860,17,1,2
105862,4,2,30
105863,3,0,229
105864,12,2,7
105865,23,2,13
105866,23,0,68
105867,17,3,2
105868,3,2,549
105869,29,1,1
92598,3,0,333
92599,9,2,1886
92594,4,126,2264
92595,12,2,139
92596,4,0,1
92597,4,3,870
92590,12,2,53
92591,12,2,542
92592,12,16,142
92593,12,126,2264
100337,28,0,1
100336,29,2,542
100335,17,126,2264
100334,12,2,30
100333,12,0,3
100332,12,0,1
100331,9,2,2
100330,11,0,131
100339,23,2,25
110905,6,1,1
145652,17,2,1
92048,4,3,1096
92049,17,0,1777
110901,4,1,83
145656,2,2,1
145655,17,2,1
145654,4,1,83
92042,4,2,14
92043,17,2,1889
92040,17,2,276
92041,2,2,276
92046,17,0,22
92047,17,2,13
92044,2,0,12
98875,28,17,163
94148,28,3,293
2769807,28,1,2
2769806,28,2,1
86951,28,0,36
86950,3,0,52
86953,3,0,9
86952,4,0,156
86955,12,126,2264
86954,28,126,2264
86957,9,0,12
86956,11,2,542
86959,17,126,2264
86958,2,126,2264
93315,2,126,2264
93314,11,2,348
104054,17,1,35
104055,12,2,30
104052,11,2,88
93310,23,0,22
93313,12,0,3
104051,17,2,67
93319,8,2,14
93318,8,2,335
104058,12,1,2
104059,17,1,2
87338,12,126,2264
87339,11,126,2264
87336,12,126,2264
87337,25,126,2264
87334,2,126,2264
87335,10,126,2264
87332,4,0,36
87333,4,0,15
87330,11,126,2264
87331,11,126,2264
85798,17,2,7
85799,4,2,1890
85796,11,0,52
85797,4,0,36
85794,12,2,1891
85795,9,112,1457
85792,12,0,3
85793,11,2,13
85790,12,126,2264
85791,28,2,154
106946,12,0,10
106944,17,2,1027
91606,25,0,36
106942,20,1,1
106943,11,2,44
88919,12,126,2264
88918,12,1,1892
88913,17,0,3
88912,23,0,22
88911,9,2,1214
88910,17,126,2264
88917,17,2,1893
88916,17,2,9
88915,12,0,3
88914,29,126,2264
86177,17,0,52
86176,12,126,2264
86175,12,126,2264
86174,12,126,2264
86173,27,126,2264
86172,4,2,251
86171,17,0,1894
86170,12,2,1361
86179,17,126,2264
86178,4,126,2264
96222,12,0,22
96223,28,2,13
96220,4,126,2264
96221,17,68,766
96226,9,0,12
96224,17,2,7
96225,17,0,12
96228,8,0,22
96229,14,0,22
89990,29,2,382
2421240,12,1,12
96598,12,1,2
96599,3,2,165
89358,28,2,13
89359,12,0,22
89352,12,0,3
89353,9,2,151
89350,11,0,12
89351,12,0,1
96594,9,0,1
89357,23,2,362
89354,2,2,1
96597,14,0,36
87493,8,126,2264
89998,17,2,51
87491,23,126,2264
87490,17,126,2264
87497,3,126,2264
87496,8,2,44
87495,14,126,2264
87494,2,126,2264
103527,12,2,1
103526,3,2,14
87499,9,126,2264
87498,23,1,1376
103523,12,0,190
103522,17,1,3
103521,2,0,3
103520,17,2,0
106757,3,2,30
106755,12,1,59
106754,2,0,1
97179,29,1,3
97178,12,120,1578
97175,12,2,1895
106753,3,2,1
97177,9,3,1896
97176,3,3,232
97171,11,0,12
97170,11,0,3
97173,25,1,1897
106752,25,126,2264
91012,17,2,1898
99319,20,0,215
99318,17,0,36
99317,8,2,69
99316,17,3,2
99315,12,0,1380
99314,9,2,0
99313,12,0,3
99312,23,2,259
99311,23,2,206
99310,2,1,7
88005,9,0,52
88004,8,126,2264
88007,17,126,2264
88006,27,126,2264
88001,8,46,35
88000,17,0,22
88003,17,0,12
88002,9,126,2264
88009,8,2,678
88008,8,2,13
103209,11,7,1
87830,3,2,9
90338,23,3,162
90339,4,0,48
90332,4,126,2264
90333,4,0,12
90330,4,1,1901
90331,17,2,42
90336,9,1,2
90337,12,126,2264
90334,12,18,1902
90335,17,0,3
103200,17,0,1
103201,4,2,1
87834,23,0,1904
87837,6,0,1905
94529,28,2,97
94528,9,0,3
94523,23,3,1866
94522,17,1,2
94520,10,3,1118
94527,10,2,13
94526,17,3,1119
94525,12,3,222
94524,2,0,22
97953,12,0,3
97952,2,0,3
97951,12,0,22
97950,3,2,2
97957,4,1,3
97956,23,2,13
97955,17,0,420
97954,3,2,50
97959,3,2,7
97958,3,0,1
111696,19,31,1
111697,11,0,1
111694,11,0,36
111695,14,1,5
111692,8,1,5
111693,17,2,44
2959749,24,1,1
2959748,2,2,1
2959744,3,2,1
111698,4,2,1
92204,23,3,1410
92205,2,0,12
92206,28,0,3
92207,2,126,2264
92200,8,3,365
92201,17,3,1411
92202,17,2,129
92203,10,0,12
92208,17,2,141
92209,17,126,2264
104294,10,0,1
104295,17,1,2
104296,25,1,2
104297,12,3,89
104290,23,0,13
104291,4,0,1
104292,17,3,2
104293,2,2,1
104298,3,1,1
104299,27,2,13
99872,27,0,21
99873,17,1,1
99870,11,0,1
99871,9,0,21
99876,12,0,3
99877,11,0,1
99874,17,2,13
99875,12,2,13
99878,17,2,44
99879,12,0,135
105659,6,1,2
105658,12,1,1
105656,11,2,664
105655,17,0,346
105654,17,0,346
105653,4,0,346
105650,11,53,579
101112,17,126,2264
88126,11,0,2
88127,12,2,1518
88124,25,126,2264
88125,6,126,2264
88122,17,0,5
88123,29,1,5
88120,4,2,1337
88121,17,1,2
107729,17,1,83
107721,3,1,5
107720,17,1,5
107722,2,2,204
101018,2,3,1480
107085,2,1,2
112788,12,1,2
112785,25,1,5
112784,2,1,5
112787,11,1,3
112786,12,1,5
112781,17,1,5
112780,17,1,2
112783,15,2,30
112782,23,1,5
101015,17,126,2264
108128,17,126,2264
108129,2,1,1
108122,27,1,5
108120,27,0,346
108121,2,0,346
108127,17,126,2264
109837,9,1,5
109836,23,1,5
109835,17,0,12
109834,4,1,1
109833,20,1,30
109832,12,1,5
109831,17,1,5
109830,20,1,5
91696,17,2,7
109838,27,1,1
867645,3,2,30
867644,12,2,0
3158927,17,2,1
91278,2,3,678
91279,17,7,5
91274,2,126,2264
91275,13,0,22
91276,3,0,12
91277,12,2,79
91270,4,0,13
91271,22,3,1480
103723,17,2,1
91273,16,0,2
145757,28,2,0
145754,28,1,1
145755,28,1,2
145752,28,2,0
145753,3,1,5
145750,13,2,1
145751,4,2,1
145758,11,1,5
145759,13,1,2
101767,11,3,567
101766,10,1,1
101765,4,1,1
101764,11,1,1
101763,4,0,11
101762,28,0,12
101761,28,1,1
101760,11,1,3
101769,17,0,1
101768,27,2,30
103897,17,0,21
103896,12,0,74
103894,17,0,10
103893,4,0,1
103892,4,2,1
103891,12,2,68
103890,12,2,68
103899,9,0,1
103898,2,0,1
87969,3,126,2264
87968,12,126,2264
103493,12,0,35
87963,12,0,12
87962,17,0,12
87961,11,0,12
87960,17,126,2264
87967,12,126,2264
87966,3,126,2264
87965,17,126,2264
87964,12,2,1721
101491,13,0,82
101490,11,2,296
101493,4,2,30
101492,8,0,3
101495,17,2,1
101494,21,0,116
101497,12,0,12
101496,28,0,1
101499,11,0,36
101498,11,2,9
101012,8,0,10
103497,11,0,82
103496,12,2,68
100368,11,2,1
92098,4,126,2264
92095,10,2,18
100365,17,3,670
100366,12,0,44
85613,4,2,9
85612,6,126,2264
85611,6,126,2264
85610,25,0,22
85617,17,2,1
85616,9,71,1
85615,12,2,943
85614,12,2,30
100360,17,2,660
85619,17,126,2264
85618,28,126,2264
92090,28,126,2264
92093,17,126,2264
100363,12,2,234
145680,8,1,1
110953,4,31,1
145682,3,2,2020
626447,4,1,5
110956,12,2,68
145685,17,0,2026
145686,17,1,5
110955,22,0,1
89969,12,2,1687
89968,1,0,22
108829,4,0,1
108828,6,1,59
89965,2,126,2264
89964,4,0,13
89967,12,0,35
89966,23,0,35
89961,12,2,1
89960,2,0,1
108821,12,1,1
108820,17,2,1
87109,2,126,2264
87108,17,2,1508
87101,17,0,49
87100,11,126,2264
87103,9,0,1907
87102,17,126,2264
87105,15,126,2264
87104,12,126,2264
87107,12,0,36
87106,17,126,2264
2659300,22,0,1
2659301,11,1,5
95942,2,2,13
95943,17,0,22
95940,4,2,475
95941,22,1,3
95946,12,0,1
95947,2,0,3
95944,12,2,1462
95945,17,2,668
95948,6,0,3
95949,6,2,76
110639,17,2,68
110638,12,1,30
110637,23,0,21
110636,17,1,83
88708,28,2,1908
88709,28,2,7
88702,2,2,44
88703,2,2,1909
88700,2,2,1
88701,17,2,7
88706,6,126,2264
88707,17,2,373
88704,25,2,30
88705,17,2,106
2679557,3,1,5
2679556,2,1,2
2679558,17,2,80
2488477,9,3,159
96419,17,0,3
96418,3,2,13
96415,12,0,5
96414,2,2,90
96417,12,0,3
96416,9,0,52
96411,17,7,5
96410,17,2,19
96413,12,2,13
96412,17,126,2264
94309,9,0,62
94308,9,3,41
94303,23,2,7
94302,17,0,3
94301,9,0,3
94300,9,2,239
94307,28,3,232
94306,2,2,14
94305,2,0,47
94304,8,2,2
90819,25,2,1910
90818,2,3,95
90813,2,126,2264
90811,2,0,3
90810,23,0,1
90817,17,2,382
90816,17,2,487
90815,12,3,157
90814,17,126,2264
97458,28,3,2
97459,12,0,131
97452,17,0,723
97453,4,0,1
97450,2,1,2
97451,22,1,3
97456,17,0,1
97457,12,126,2264
97454,2,0,1
97455,11,0,9
118329,20,1,5
118328,3,1,2
2771250,11,1,2
118327,18,0,1
118326,12,1,83
118321,23,1,5
118320,28,1,2
118323,17,1,1
118322,28,0,1
99508,17,0,3
99509,2,0,3
99506,8,1,2
99507,3,0,135
99504,14,0,5
99505,25,126,2264
99502,12,2,12
99503,11,2,13
99500,28,0,11
99501,6,0,35
90105,9,0,1
90104,11,2,234
90107,12,3,1550
90106,28,3,1116
90101,28,0,1
90100,25,2,97
90103,12,0,12
90102,9,2,290
90109,10,2,1
90108,11,0,1
95160,12,0,105
95161,12,0,105
95162,17,0,105
95163,12,0,12
95164,12,2,1
95165,17,0,1
95166,9,1,5
95167,6,126,2264
95168,12,4,524
95169,9,0,3
90188,2,2,227
110699,17,1,1
90186,3,126,2264
110698,17,1,5
89459,23,0,12
110694,28,1,2
94488,4,0,22
94489,11,0,1041
91478,23,0,520
91476,23,3,1914
94485,12,2,92
94486,4,0,12
94487,2,2,25
94480,3,0,1571
94481,4,2,22
94482,4,2,9
94483,3,2,13
93324,12,1,5
104066,12,0,21
101017,12,3,1915
101016,4,2,65
101011,12,1,5
104062,28,2,88
111223,11,2,68
111222,4,1,1
111221,23,2,1
111220,12,2,1
111227,17,1,3
101013,20,0,36
111225,17,2,1
111224,12,1,5
111228,17,1,2
110574,20,1,2
110575,9,1,1916
110576,6,1,5
110577,3,2,1
110578,8,0,1
110579,2,1,5
91559,17,0,12
91558,2,3,729
91551,11,0,12
91550,13,3,162
91553,22,126,2264
98664,9,0,12
98665,12,0,3
98666,3,1,2
98667,12,0,10
98660,25,2,414
98661,17,2,22
98662,3,0,10
98663,11,0,50
91555,17,3,1
98668,17,1,3
98669,29,1,3
103625,27,0,10
91557,1,0,1917
91556,1,58,1537
104485,1,2,1486
104484,28,2,1
104487,1,1,2
104486,19,1,2
104481,20,0,1
104480,15,2,1
104483,4,0,1
104482,2,0,12
104489,9,1,2
104488,17,2,7
98592,12,1,3
98593,12,0,36
98590,18,0,3
98591,10,0,69
98596,2,1,1
98597,10,1,1
98594,27,2,427
98595,3,1,3
98598,22,0,1
98599,4,2,2
104739,17,0,35
104738,15,2,76
104737,17,2,102
104736,4,2,68
104735,3,1,2
104734,8,2,30
104733,3,1,1
104732,12,2,13
104731,12,2,13
104730,28,2,1
105288,28,2,13
105289,17,2,1
105280,12,1,2
105281,8,0,21
105282,8,0,1919
105283,4,2,68
105284,28,2,68
105285,28,1,5
105286,4,2,68
105287,17,2,2
101666,4,0,12
89068,4,126,2264
89069,11,126,2264
2654532,17,2,13
2654534,9,1,83
106398,17,2,1922
106396,17,1,2
106395,4,2,30
106394,11,0,1
106393,19,1,2
106392,1,1,3
106391,15,1,2
106390,17,2,1
102889,2,2,30
102888,11,2,21
102887,11,2,13
102886,12,2,146
102885,4,0,3
102884,17,0,3
102883,2,1,2
102882,12,0,5
102881,8,0,1
102880,17,0,35
89064,11,126,2264
89065,17,126,2264
106641,4,1,83
106640,4,2,44
106643,11,1,5
106642,20,126,2264
106645,3,1,5
106644,4,2,67
106646,2,1,2
102779,17,0,12
102778,2,0,1
1087915,18,0,1612
102770,17,1,1
102773,9,2,139
102772,4,1,1923
102775,4,0,21
102774,11,0,3
2526398,2,2,3
1087912,4,7,1613
112065,10,2,1
112066,29,0,12
112067,25,1,83
112068,8,0,1
112069,9,1,5
109386,8,0,1
107116,9,1,2
107117,2,2,13
107115,23,1,1
107112,23,1,5
107110,17,1,2
107111,17,1,5
107118,17,0,10
107119,4,2,656
108597,17,1,5
108596,1,1,2
108595,6,1,1
108592,6,1,5
108591,9,1,68
108590,10,1,2
108599,17,0,287
108598,9,1,5
88544,22,0,5
88545,2,2,735
88546,10,2,13
88547,10,126,2264
109640,2,0,283
109641,17,1,5
109642,10,1,5
88543,23,126,2264
88548,23,2,65
88549,29,2,25
103918,2,0,10
103919,2,2,1
103912,17,1,1
103913,6,2,36
103910,4,2,259
103911,12,3,2
103916,18,2,30
103914,17,0,1
103915,2,0,1
2675754,9,2,1
2675752,6,1,2
2675751,9,0,36
2675750,12,1,5
86241,12,2,1929
86240,17,3,1930
86243,2,0,35
86242,17,0,9
86245,17,2,9
86244,8,2,290
86247,3,2,290
86246,9,2,1931
86249,2,2,276
86248,12,126,2264
101514,17,0,10
101515,17,2,67
101516,2,2,76
101517,3,2,7
101511,4,1,1
101512,9,0,82
101513,2,0,415
101518,25,2,37
101519,12,2,13
86865,2,126,2264
86864,4,3,464
86867,3,0,1
86866,17,3,1467
86861,2,126,2264
86860,17,2,13
86863,4,2,336
86862,12,126,2264
109768,17,1,5
86869,17,126,2264
86868,11,0,36
87457,4,126,2264
109766,29,126,2264
87455,10,126,2264
109764,17,1,2
87453,2,126,2264
109762,12,2,1
87451,22,126,2264
87450,23,126,2264
2649075,11,2,1
2649076,11,2,13
2516269,6,1,1
93957,4,126,2264
93956,3,126,2264
96706,4,2,9
93953,18,65,1394
93951,27,1,1
96702,17,0,3
94974,12,0,50
94975,12,2,13
94976,11,0,1
94977,2,2,7
94970,3,2,13
94971,3,3,2
94972,12,0,5
94973,11,1,5
94978,12,0,3
94979,12,0,1089
111021,12,1,1
111020,12,1,2
111023,3,1,2
111022,3,1,2
105741,17,1,2
110778,17,126,2264
110779,4,2,2
110776,17,1,83
110777,2,1,1
110774,17,1,1
110775,4,1,1
110772,4,0,30
110773,15,0,1
110770,12,1,5
110771,17,1,1
105742,9,1,2
105745,23,1,2
105744,4,1,2
105747,17,1,5
97257,25,1,2
97258,12,0,3
111798,4,1,2
97259,11,2,1933
111793,11,1,59
111792,11,0,1934
111791,2,126,2264
111790,3,1,1
111797,4,1,2
111796,27,1,2
111795,13,1,1
111794,17,0,1
111406,28,126,2264
3187537,25,126,2264
88330,4,2,1039
111400,20,126,2264
88575,17,126,2264
88574,2,126,2264
92989,4,2,57
92988,12,2,151
92987,17,0,22
92986,17,0,50
92985,14,7,118
92984,17,126,2264
92983,28,2,189
92982,4,3,111
92981,12,0,22
92980,4,0,523
96608,6,2,13
96609,10,3,752
96604,17,86,1048
96605,12,2,50
96606,12,3,1936
96607,23,0,50
96600,20,2,730
96601,11,126,2264
96602,4,2,350
96603,23,2,13
88577,23,125,2209
88576,4,125,1937
2225895,15,126,2264
88571,17,2,44
88570,8,3,502
88573,12,126,2264
89356,10,2,170
94118,11,2,13
94119,28,0,105
88572,17,0,3
94112,2,2,1702
94113,2,0,105
94110,17,1,2
94111,17,1,2
94116,25,2,53
94117,23,2,13
94114,17,2,1103
94115,11,0,22
90608,2,0,12
90609,27,2,53
90602,2,0,1
90603,17,2,139
90600,2,0,12
90601,11,2,917
90606,11,2,1077
90607,12,15,277
90604,24,2,1
90605,17,2,129
104801,4,1,5
104800,11,0,346
104803,17,0,21
104802,17,2,14
104805,18,1,5
104804,17,1,5
112668,9,2,1
112669,9,1,1
112666,2,2,0
112667,23,2,1
112664,25,1,5
112665,27,2,1
112662,9,2,1
112663,8,1,2
112660,3,1,2
112661,29,2,44
99779,2,2,25
99778,17,0,12
95647,17,2,102
95646,17,3,2
95641,2,2,13
95640,17,0,50
95643,22,126,2264
95642,9,2,260
99771,9,0,36
99770,17,0,3
99773,12,3,657
99772,4,0,1938
99775,12,0,73
99774,25,23,199
99777,4,2,1939
99776,17,54,309
109402,19,1,5
109403,12,1,1
109400,4,1,2
109401,28,1,5
109406,12,1,5
109404,12,1,1
109405,12,1,5
147527,4,2,1
147529,2,1,2
147528,2,1,1
106988,14,1,2
106989,9,1,5
106980,6,1,59
106981,3,1,922
106986,17,2,9
106987,3,1,5
106984,12,1,1
106985,3,1,2
92514,11,2,144
107056,10,1,2
92516,12,126,2264
107054,8,1,5
92510,12,2,1
92511,2,2,51
92512,4,2,281
92513,2,2,9
92518,17,3,55
92519,3,0,35
107059,3,0,12
107058,17,1,83
110985,14,1,1
110984,4,1,2
110987,17,1,2
110986,6,0,52
110981,22,2,9
110980,11,1,59
110983,18,1,59
110982,8,0,1
91469,25,126,2264
94496,11,2,189
100913,2,0,12
100912,11,2,1
100911,9,2,44
100910,2,2,44
100917,9,1,2
100916,9,0,12
100915,14,0,10
100914,17,0,3
100919,2,2,1942
100918,22,126,2264
108077,3,1,83
94499,2,0,116
91466,22,45,207
101068,18,1,1
101069,8,0,12
93395,9,2,13
93394,23,126,2264
93397,10,2,335
93396,23,0,3
93391,25,2,76
93390,17,0,2132
101062,17,0,50
93392,23,0,3
85468,12,126,2264
85469,4,2,189
85460,9,2,13
85461,20,68,1739
85462,10,0,3
85463,11,3,2090
85464,23,2,102
85465,25,0,1002
85466,17,126,2264
85467,2,2,413
98417,9,0,69
98416,12,2,7
98415,9,2,3
98414,11,1,12
98413,4,0,709
98412,12,2,35
98411,2,126,2264
98410,10,0,21
98419,28,126,2264
98418,17,2,22
90705,22,3,1944
90704,12,3,1945
102217,2,0,22
90709,23,0,556
102215,17,0,21
105369,17,0,12
105368,4,126,2264
105367,4,1,1
105366,12,0,259
105365,4,2,0
102211,3,0,131
105363,4,1,2
105362,9,2,2
105361,4,1,5
105360,17,0,1199
903985,17,1,2
108079,25,0,804
147954,25,2,1
147952,11,2,2
104409,9,0,12
104408,3,2,1
86461,12,2,14
86460,12,2,7
86463,4,0,3
86462,12,2,13
86465,12,126,2264
86464,28,2,1947
86467,4,1,5
86466,28,1,1
86469,4,2,1754
86468,4,126,2264
104405,18,0,21
104404,17,2,259
104407,9,0,1
104406,28,2,1
96110,8,3,743
104400,17,2,9
621043,4,2,1
621045,9,1,2
104403,12,2,259
104402,2,1,5
3214777,4,126,2264
3214776,24,126,2264
3214779,12,126,2264
3214778,23,126,2264
108418,8,1,1
108419,3,2,2
108412,14,1,2
108413,10,1,5
108410,9,1,2
108411,3,2,44
108416,12,1,2
108417,4,1,2
108414,4,1,5
108415,4,126,2264
89024,4,2,1948
89025,4,2,13
89026,4,126,2264
89027,11,2,139
89020,17,126,2264
89021,9,126,2264
89022,22,126,2264
89023,17,126,2264
89028,17,126,2264
89029,4,0,12
103039,14,0,21
103038,28,2,68
103035,4,0,10
103034,23,0,21
103037,2,0,12
103036,8,0,1
103031,15,2,1
103030,11,1,1949
103033,9,0,21
103032,14,0,21
87419,22,126,2264
87418,23,126,2264
2521883,3,1,59
87413,11,1,5
87412,11,126,2264
87411,9,126,2264
87410,8,126,2264
87417,17,2,1
87416,23,2,1
87415,2,126,2264
87414,22,2,1950
109186,12,1,2
88089,10,126,2264
88088,4,126,2264
88085,17,2,1951
88084,11,0,35
88087,12,2,63
88086,15,2,1768
88081,12,2,1518
88080,17,126,2264
88083,12,2,1084
88082,25,126,2264
100074,11,0,1
100075,6,2,1
100076,4,0,12
100077,9,1,2
100070,2,0,35
100071,11,2,7
100072,23,0,3
100073,12,2,1265
100078,17,0,1
100079,10,1,3
88239,4,126,2264
90444,4,2,1112
90445,10,2,13
90446,11,0,22
90447,11,0,690
90440,29,2,7
90441,4,2,1774
90442,12,2,63
90443,12,2,1953
90448,4,2,328
90449,28,2,13
103579,28,0,1
88865,28,2,13
101305,2,2,189
101304,25,2,200
101307,12,1,1
101306,28,0,1
101301,12,2,44
101300,11,0,12
101303,17,0,130
101302,12,1,2
101309,10,0,3
101308,11,0,10
1235872,2,126,2264
85103,12,126,2264
85102,12,126,2264
85101,11,126,2264
85100,2,126,2264
85107,25,126,2264
85106,12,126,2264
85105,2,126,2264
85104,4,126,2264
85109,2,126,2264
85108,2,126,2264
111618,17,126,2264
111619,17,1,2
111616,28,1,5
111617,12,1,1
111614,12,1,2
111615,11,1,5
111612,11,0,1
111613,12,1,2
111610,17,1,5
111611,4,1,5
95252,12,0,2
95253,3,0,105
95250,4,2,9
95251,4,0,2
95256,12,2,13
95257,4,1,2
95254,28,0,35
95255,4,1,2
95258,9,2,646
95259,9,2,1
95877,2,1,1
95874,3,2,76
95875,2,0,298
95872,2,0,105
95873,17,2,1
95870,9,0,3
95871,4,0,3
95878,11,0,700
95879,11,1,2
104218,12,0,21
104219,12,2,0
93159,12,2,1956
93158,3,2,559
93157,12,0,105
93156,6,126,2264
104216,28,1,5
104217,28,1,5
93153,4,2,40
104211,28,3,1
104212,14,0,21
104213,12,0,287
88170,20,126,2264
110259,11,1,2
110258,6,2,2
217604,17,2,2
110251,2,1,2
110250,12,126,2264
110253,17,2,44
110252,4,0,52
110255,2,1,1
110254,11,1,2
110257,2,2,1
110256,23,1,2
109893,11,1,2
88172,4,2,9
99988,9,1,1
99989,11,0,407
92530,8,2,668
97644,25,2,13
105169,22,34,68
105168,2,1,1
98169,2,0,3
98168,20,3,352
98167,12,0,12
98166,25,1,3
98165,4,0,1
98164,2,2,7
98163,11,2,13
98162,4,2,44
98161,17,0,12
98160,4,1,3
93849,12,0,105
93848,12,126,2264
93841,11,3,1775
93840,23,3,753
93843,12,0,1307
93842,12,1,5
93845,20,1,2
93844,4,121,1603
93847,3,2,30
93846,17,2,290
112259,12,1,2
112258,17,1,5
112253,17,2,1
112252,6,1,1
112251,12,1,5
112250,17,1,1
112257,17,1,5
112256,12,31,1
112255,17,31,1
112254,2,1,5
112358,12,1,2
112359,28,2,1
108658,3,0,35
108659,3,0,35
108650,12,1,2
108651,13,1,2
108652,2,0,30
108653,15,96,1
108654,23,1,5
108655,17,1,5
108656,25,1,1
108657,4,1,1
112353,2,2,0
102304,4,2,44
102305,4,0,2
102306,17,2,130
102307,2,126,2264
102302,4,2,14
102303,28,0,12
102308,11,3,2
102309,17,2,9
98902,6,0,35
91148,12,2,7
91149,3,1,1
91146,11,2,53
91147,25,126,2264
91144,11,2,7
91145,17,126,2264
91142,22,2,97
91143,6,2,170
91140,6,3,1530
91141,17,126,2264
106536,11,1,1
106535,12,2,1
106534,2,1,5
106533,6,0,82
106532,2,2,664
106531,4,0,1
106530,4,1,5
106539,17,1,1
106538,28,1,5
111933,12,1,2
111932,12,2,1
111931,20,1,2
111937,9,2,1
111936,6,1,2
111935,17,2,2
111934,4,1,2
111939,17,1,1
111938,2,1,2
100104,20,0,12
100105,10,2,13
107334,12,1,5
107335,3,126,2264
86119,12,126,2264
100101,2,2,7
109213,12,1,2
109212,9,26,248
109211,4,0,780
109210,2,0,52
109217,12,1,1
109216,15,1,5
109215,9,2,1
109214,17,1,5
109219,12,0,12
109218,12,1,5
105949,4,2,664
105948,3,2,664
92499,22,126,2264
92498,22,2,364
92491,17,2,1958
92490,2,2,154
92493,25,2,141
92492,9,126,2264
92495,4,2,90
92494,12,0,13
92497,9,2,9
92496,11,2,44
106843,25,2,13
104311,15,1,5
92727,18,2,243
92726,3,2,13
92725,25,126,2264
92724,12,2,13
100276,3,2,274
92722,17,0,12
92721,18,0,1
92720,2,2,465
100278,12,0,12
100279,9,0,10
92729,12,2,262
92728,17,2,153
145827,11,2,1
117831,17,1,2
117832,4,2,2
117833,25,1,2
117834,9,0,12
117835,2,1,1
117836,28,1,2
117837,2,2,1
117838,17,2,8
117839,8,2,8
100896,17,0,1
100897,9,0,36
100894,12,0,3
100895,12,3,1
100892,4,0,1
100893,12,0,3
100890,17,2,664
100891,12,0,1959
100898,9,2,0
100899,11,0,10
93456,12,2,79
93457,2,0,3
