,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000
110519,0,30,9,14,845,2,30,501
110512,1,1,7,48,949,4,81,800
110513,2,1,9,14,245,7,30,509
110510,1,59,7,0,764,4,36,473
110511,2,1,7,48,393,4,81,827
110516,1,1,7,46,463,4,23,164
110517,1,3,7,74,570,2,23,581
110514,2,1,0,74,506,8,23,120
110515,0,21,7,66,997,1,4,283
93589,1,3,4,36,598,7,2,806
93580,2,14,5,40,202,7,6,991
93581,0,22,7,0,570,2,23,817
93582,0,158,7,48,479,4,81,712
93583,3,159,8,82,678,6,17,137
93584,2,151,7,61,93,1,17,575
93585,2,13,3,58,362,2,42,282
93586,2,86,7,66,382,1,29,943
93587,2,160,2,69,160,4,61,985
112040,0,12,6,92,625,8,59,577
112041,1,1,9,14,746,8,20,33
92187,2,1,6,10,434,8,12,641
92186,0,3,2,5,575,4,31,308
92185,3,159,7,93,174,1,61,35
92184,3,2068,6,3,311,9,27,38
92183,126,2264,9,14,273,4,30,506
92182,0,3,7,14,273,4,20,506
92181,2,154,9,8,556,7,89,190
92180,3,161,0,17,854,3,28,379
92189,3,162,7,74,561,7,20,947
92188,2,129,2,69,666,4,31,22
104162,1,5,7,82,387,7,20,420
89611,8,97,7,7,304,7,3,886
104163,2,259,9,73,673,9,21,657
112049,1,2,8,23,788,7,91,68
98602,7,5,7,42,194,4,3,977
98603,0,33,7,42,878,4,20,977
98600,52,554,7,27,98,7,75,122
98601,2,76,7,18,47,1,16,94
98606,2,242,2,74,263,4,31,173
98607,0,1,9,39,183,7,37,857
98604,0,1,5,14,387,7,20,420
98605,2,427,9,14,387,7,20,420
98608,1,12,9,40,324,7,30,307
98609,18,164,5,40,324,7,6,307
85263,126,2264,9,47,746,7,30,903
107919,1,5,9,2,894,7,30,213
107916,2,1,9,47,172,7,30,654
107917,1,5,9,14,205,7,20,986
107914,0,21,9,47,887,7,30,104
107915,2,68,9,48,205,7,30,986
107912,1,83,7,14,949,1,20,841
107913,1,2,9,14,845,2,72,501
104759,0,1,5,23,914,7,54,294
104758,1,1,4,12,212,6,40,249
104751,1,1,3,35,845,2,72,57
104750,1,1,8,6,198,0,57,704
104753,0,167,7,48,92,6,81,203
104752,1,2,5,48,387,7,81,420
104755,1,1,5,27,405,7,20,755
104754,0,74,5,39,334,7,37,537
104757,1,22,4,26,128,1,49,787
104756,1,1,3,88,182,2,18,375
99959,2,8,7,74,809,2,0,960
99958,0,1,5,37,822,7,45,997
99955,0,12,9,55,78,7,80,91
99954,1,1,4,36,630,6,77,700
99957,0,169,7,74,928,2,23,372
99956,0,35,9,48,303,7,81,789
99951,1,2,7,46,376,4,23,254
99950,2,90,9,14,205,7,20,33
99953,126,2264,7,26,772,1,22,65
99952,0,12,4,72,284,6,98,147
101987,0,3,3,88,942,2,18,514
101986,2,1,4,71,718,6,95,297
101985,1,1,5,45,960,7,54,250
101984,1,172,7,3,311,9,27,312
101983,0,1,9,3,311,4,27,702
101982,126,2264,3,13,979,2,69,224
101981,0,1,1,10,210,8,12,958
101980,0,21,9,14,898,7,20,509
101989,0,3,9,14,37,0,20,841
101988,2,13,7,14,773,1,20,841
105406,0,10,9,41,294,3,20,631
105407,1,1,4,72,354,6,98,494
105404,1,5,7,95,358,4,20,796
105405,2,30,9,60,711,7,10,556
105402,2,68,9,14,711,7,10,556
105403,1,2,2,6,508,4,57,322
105400,0,21,9,14,746,7,30,903
105401,0,12,5,37,27,7,45,43
105408,2,30,4,36,791,6,77,539
105409,2,1,3,6,842,2,24,181
106663,1,1,7,12,224,6,40,960
106662,1,1,5,55,78,7,80,416
106661,1,1,5,27,769,7,75,70
106660,1,5,8,68,39,0,93,868
106667,1,2,4,12,71,6,40,401
106668,1,5,4,12,71,6,40,143
102753,126,2264,7,58,362,2,42,282
102752,2,2,7,4,396,1,22,888
102751,0,21,7,74,726,2,23,960
102750,3,174,4,36,286,6,77,14
102757,1,2,9,14,37,7,20,509
102756,2,2,4,12,355,6,40,289
102755,0,1,9,47,825,7,30,104
102754,0,3,9,14,163,9,20,17
102759,0,1,9,48,304,4,20,841
102758,0,3,9,55,921,7,80,803
112009,1,3,4,36,630,6,77,806
107130,2,176,4,72,106,6,98,706
107131,2,68,9,14,668,7,30,91
107132,2,0,9,14,37,7,30,509
107133,20,177,8,18,47,0,16,603
107134,2,8,4,52,286,6,43,14
107136,0,178,3,58,88,2,57,134
107137,1,5,9,14,982,2,20,227
107138,1,1,7,0,752,4,23,755
107139,0,1,9,14,752,7,20,755
88522,126,2264,9,14,684,0,20,739
88523,2,9,9,47,746,7,30,903
88520,2,180,7,19,212,3,23,785
88521,2,181,9,14,366,7,30,17
88526,2,40,9,14,999,1,20,494
88527,2,8,7,74,378,4,23,507
88524,126,2264,9,14,78,7,30,416
88525,15,182,0,73,140,4,21,114
88528,126,2264,0,73,140,8,21,114
88529,2,65,9,14,37,1,30,125
91361,0,22,5,27,73,7,75,70
112529,2,1,9,14,411,9,54,505
88298,2,1,4,61,929,6,7,240
88299,2,151,4,12,230,6,40,998
88290,126,2264,7,62,561,8,20,947
88291,0,52,7,0,50,4,36,605
88292,0,3,9,47,746,1,30,903
88293,126,2264,0,73,140,8,21,824
88294,3,464,5,37,124,7,45,213
88295,3,1411,7,3,311,9,27,312
88296,126,2264,9,92,941,8,30,823
88297,126,2264,1,28,314,1,97,809
108317,1,5,9,47,825,8,30,104
108316,1,5,7,8,119,7,89,702
108319,1,5,4,72,143,6,98,895
108318,1,5,7,74,570,8,23,630
1332352,0,3,4,72,814,6,98,343
86269,2,187,9,76,686,5,88,101
86268,126,2264,4,61,488,6,7,240
86267,3,2,7,74,748,7,23,18
86266,126,2264,7,74,928,1,23,372
