abbrev,name,count,jurisdiction,citation_abbrev,start_date,end_date,in_use,last_modified,horizontal,vertical
kywb,United States Bankruptcy Court W.D. Kentucky,511,Federal Bankruptcy,Bankr. W.D. Ky.,Unknown,Unknown,Yes,2013-08-15T09:23,KY,other
laeb,United States Bankruptcy Court E.D. Louisiana,102,Federal Bankruptcy,Bankr. E.D. La.,Unknown,Unknown,Yes,2013-08-14T22:54,LA,other
lamb,United States Bankruptcy Court M.D. Louisiana,109,Federal Bankruptcy,Bankr. M.D. La.,Unknown,Unknown,Yes,2013-08-14T22:37,LA,other
lawb,United States Bankruptcy Court W.D. Louisiana,188,Federal Bankruptcy,Bankr. W.D. La.,Unknown,Unknown,Yes,2013-08-15T09:01,LA,other
meb,United States Bankruptcy Court D. Maine,319,Federal Bankruptcy,Bankr. D. Me.,Unknown,Unknown,Yes,2014-11-24T09:05,ME,other
mdb,United States Bankruptcy Court D. Maryland,505,Federal Bankruptcy,Bankr. D. Md.,Unknown,Unknown,Yes,2013-08-14T18:06,MD,other
mab,United States Bankruptcy Court D. Massachusetts,1502,Federal Bankruptcy,Bankr. D. Mass.,Unknown,Unknown,Yes,2013-08-14T16:41,MA,other
mieb,United States Bankruptcy Court E.D. Michigan,745,Federal Bankruptcy,Bankr. E.D. Mich.,Unknown,Unknown,Yes,2013-08-14T18:10,MI,other
miwb,United States Bankruptcy Court W.D. Michigan,404,Federal Bankruptcy,Bankr. W.D. Mich.,Unknown,Unknown,Yes,2013-08-14T17:48,MI,other
mnb,United States Bankruptcy Court D. Minnesota,688,Federal Bankruptcy,Bankr. D. Minn.,Unknown,Unknown,Yes,2013-08-14T17:13,MN,other
msnb,United States Bankruptcy Court N.D. Mississippi,172,Federal Bankruptcy,Bankr. N.D. Miss.,Unknown,Unknown,Yes,2013-08-15T09:22,MS,other
mssb,United States Bankruptcy Court S.D. Mississippi,98,Federal Bankruptcy,Bankr. S.D. Miss.,Unknown,Unknown,Yes,2013-08-15T09:05,MS,other
moeb,United States Bankruptcy Court E.D. Missouri,545,Federal Bankruptcy,Bankr. E.D. Mo.,Unknown,Unknown,Yes,2013-08-14T18:05,MO,other
mowb,United States Bankruptcy Court W.D. Missouri,1133,Federal Bankruptcy,Bankr. W.D. Mo.,Unknown,Unknown,Yes,2013-08-14T17:06,MO,other
mtb,United States Bankruptcy Court D. Montana,310,Federal Bankruptcy,Bankr. D. Mont.,Unknown,Unknown,Yes,2013-08-14T18:04,MT,other
nebraskab,United States Bankruptcy Court D. Nebraska,333,Federal Bankruptcy,Bankr. D. Neb.,Unknown,Unknown,Yes,2013-08-14T22:49,NE,other
nvb,United States Bankruptcy Court D. Nevada,198,Federal Bankruptcy,Bankr. D. Nev.,Unknown,Unknown,Yes,2013-08-14T18:16,NV,other
nhb,United States Bankruptcy Court D. New Hampshire,408,Federal Bankruptcy,Bankr. D.N.H.,Unknown,Unknown,Yes,2013-08-14T17:07,NH,other
njb,United States Bankruptcy Court D. New Jersey,635,Federal Bankruptcy,Bankr. D.N.J.,Unknown,Unknown,Yes,2013-08-14T17:15,NJ,other
nmb,United States Bankruptcy Court D. New Mexico,312,Federal Bankruptcy,Bankr. D.N.M.,Unknown,Unknown,Yes,2013-08-14T17:14,NM,other
nyeb,United States Bankruptcy Court E.D. New York,1063,Federal Bankruptcy,Bankr. E.D.N.Y.,Unknown,Unknown,Yes,2013-08-14T16:38,NY,other
nynb,United States Bankruptcy Court N.D. New York,355,Federal Bankruptcy,Bankr. N.D.N.Y.,Unknown,Unknown,Yes,2013-08-14T22:26,NY,other
nysb,United States Bankruptcy Court S.D. New York,2457,Federal Bankruptcy,Bankr. S.D.N.Y.,Unknown,Unknown,Yes,2013-08-14T16:39,NY,other
nywb,United States Bankruptcy Court W.D. New York,542,Federal Bankruptcy,Bankr. W.D.N.Y.,Unknown,Unknown,Yes,2013-08-14T17:26,NY,other
nceb,United States Bankruptcy Court E.D. North Carolina,245,Federal Bankruptcy,Bankr. E.D.N.C.,Unknown,Unknown,Yes,2013-08-15T09:17,NC,other
ncmb,United States Bankruptcy Court M.D. North Carolina,191,Federal Bankruptcy,Bankr. M.D.N.C.,Unknown,Unknown,Yes,2013-08-14T17:10,NC,other
