,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000,hc_10,hc_100,hc_1000
84837,126,2264,0,2,4,5,5,671,6,30,561
84838,126,2264,0,70,218,4,40,473,4,67,175
84839,126,2264,5,90,942,4,55,87,7,8,798
86069,126,2264,5,31,911,9,31,248,1,37,729
86068,126,2264,0,70,677,3,40,375,1,20,146
86065,0,131,7,47,956,6,60,843,1,1,857
86064,0,52,5,90,137,9,31,87,7,8,798
86067,2,204,4,14,863,4,46,715,4,32,685
86066,126,2264,0,15,904,0,96,537,1,90,115
86061,0,1,4,14,863,4,46,398,4,32,932
86060,126,2264,9,85,939,8,47,469,2,41,872
86063,126,2264,5,75,816,9,84,343,7,5,688
86062,3,22,4,99,436,4,17,217,4,7,211
98432,2,623,0,60,148,8,71,838,1,14,241
103331,3,1,5,32,624,7,55,155,7,4,531
91927,108,1368,4,14,607,4,46,112,4,32,932
101408,2,13,0,75,293,9,84,604,7,5,32
101409,0,3,0,65,300,8,71,924,1,66,79
101402,0,3,0,68,580,3,95,429,1,1,369
101403,2,3,7,63,978,9,32,291,7,58,830
101400,0,12,7,17,640,4,98,516,3,48,33
101401,2,44,0,69,810,0,43,509,9,64,433
101406,0,5,7,82,130,4,62,862,3,33,290
101407,0,474,5,90,517,9,55,663,7,8,969
101404,0,21,7,81,801,4,13,719,0,74,90
101405,2,475,7,2,4,5,5,671,6,30,942
101042,0,3,4,47,703,6,60,233,4,7,766
93376,2,129,6,34,588,0,99,466,3,22,996
101040,1,2,7,3,568,3,51,743,1,20,891
93374,3,288,0,22,749,6,64,810,1,65,596
104030,3,296,5,75,846,9,84,256,7,5,117
104031,0,12,4,52,129,6,57,240,4,7,465
93371,0,3,8,5,483,2,80,151,0,3,485
104033,2,259,0,70,425,0,49,613,3,31,497
85008,126,2264,4,14,466,4,46,442,2,85,616
85009,126,2264,7,3,258,6,51,338,0,19,233
85002,126,2264,0,28,218,4,68,473,4,9,192
85003,126,2264,4,33,123,4,17,828,4,7,282
85000,126,2264,7,96,864,3,37,736,5,88,104
85001,126,2264,2,96,864,3,37,736,5,88,104
85006,126,2264,0,6,957,5,30,965,1,25,34
85007,1,83,7,96,700,4,19,959,0,72,18
85004,126,2264,7,47,819,4,60,355,1,20,514
85005,126,2264,7,15,904,0,96,698,1,90,494
118435,2,1,3,29,868,7,10,934,9,79,384
89465,0,477,4,33,436,4,17,828,4,7,211
118437,1,5,3,81,614,7,13,156,0,74,286
89467,2,14,0,70,618,4,49,237,1,37,377
89460,2,40,5,90,699,9,55,719,7,8,469
89461,3,761,2,24,404,3,83,573,5,88,845
118433,2,68,7,3,819,9,51,355,1,20,514
118432,1,1,7,68,597,4,33,920,3,61,986
91560,23,275,4,47,237,4,60,271,0,72,786
91561,111,1437,9,60,945,4,71,339,1,14,241
103653,2,68,4,14,164,4,46,381,4,7,211
103652,2,146,5,90,517,9,55,2,7,8,969
103655,0,21,5,90,654,4,55,280,4,7,271
1446580,0,478,7,14,466,6,46,442,2,85,616
103657,0,74,4,14,466,6,46,442,2,85,616
103656,0,21,5,38,367,9,84,229,7,5,503
103659,51,305,0,6,340,5,77,173,6,30,383
91569,2,79,8,26,97,2,20,67,0,3,676
111175,1,5,7,3,466,6,51,442,2,85,616
111174,0,1,2,24,932,3,83,145,5,70,362
111173,1,83,4,97,315,4,17,60,4,54,499
111172,1,2,6,34,627,7,88,811,0,17,630
111171,126,2264,5,90,696,9,60,699,1,92,678
111170,1,2,0,60,148,8,71,739,1,14,247
118324,1,1,0,60,148,8,71,872,1,14,247
89446,1,3,7,59,670,6,63,518,0,11,667
89447,0,3,7,11,483,2,48,40,1,37,464
89444,2,1536,7,70,39,4,49,463,1,37,377
89445,3,1234,7,44,205,3,35,552,0,18,294
89442,13,2,0,15,895,0,96,461,1,90,494
89443,2,51,7,15,895,0,96,461,1,90,115
89440,7,2,4,99,781,4,94,745,4,54,499
89441,126,2264,0,88,911,8,49,248,2,85,234
89448,0,3,7,70,543,9,49,905,1,37,265
89449,0,3,5,32,518,9,55,153,1,25,918
118189,1,5,7,59,700,4,37,470,5,15,116
118188,1,2,0,64,2,3,69,296,1,65,399
118185,48,482,0,69,862,0,43,786,8,35,59
118184,1,2,7,56,108,9,75,987,1,63,72
118187,2,0,9,72,905,8,82,427,1,25,918
118186,2,7,5,15,872,9,96,610,1,29,309
118181,2,1,7,15,179,6,96,855,1,90,494
118180,1,83,0,22,257,9,64,399,1,65,47
118183,1,2,7,56,108,9,75,764,1,63,72
118182,2,30,0,6,709,5,77,307,6,91,625
1522352,2,9,7,81,235,7,13,562,0,0,474
93940,0,12,7,84,58,7,66,172,0,57,26
93941,126,2264,5,81,439,9,13,719,8,35,346
93942,0,486,0,12,338,0,81,787,1,29,177
93943,2,487,8,57,532,2,61,123,0,24,633
93944,2,13,7,81,112,9,9,760,9,64,433
93945,0,22,3,84,140,4,98,411,9,34,345
93946,2,488,9,88,807,8,70,194,1,25,603
93947,0,3,4,14,1,6,46,381,1,37,767
93948,0,12,0,75,931,9,84,260,3,48,210
93949,0,12,0,75,931,9,84,260,3,48,210
96718,0,3,7,9,520,6,64,213,1,65,973
96719,119,1560,7,68,59,3,95,830,0,42,16
2347065,126,2264,0,70,3,4,49,613,0,0,885
105779,126,2264,7,81,801,5,5,156,0,74,965
105776,126,2264,0,70,242,4,40,165,1,37,193
105777,126,2264,0,70,159,3,40,767,0,19,675
107341,1,2,7,41,915,0,32,321,1,36,495
99524,0,1,4,52,368,4,57,398,4,32,212
99525,2,1,3,84,791,7,98,411,0,0,924
99526,0,12,3,29,868,7,10,934,9,79,268
99527,0,12,7,84,124,6,98,632,0,42,563
99520,0,50,5,63,720,9,32,163,7,58,150
99521,0,3,0,68,645,3,95,929,0,96,776
99522,0,33,7,70,956,9,49,342,0,17,540
99523,2,76,7,20,742,3,92,950,0,74,777
87353,126,2264,4,47,245,6,60,271,0,72,432
99528,2,13,8,25,155,2,0,824,0,17,735
99529,2,30,5,70,126,9,55,760,0,42,730
98970,2,76,3,13,604,7,11,424,0,74,286
98971,126,2264,5,32,896,9,73,293,1,1,388
98972,0,69,0,70,242,4,40,165,1,37,377
98973,0,93,4,99,358,4,46,416,4,32,15
98974,0,12,6,48,401,4,16,640,1,14,123
98975,0,105,0,80,122,3,67,579,1,98,128
