,km_10,km_100
111857,1,21
111858,6,66
111859,8,59
90035,1,83
90034,6,12
1974855,6,88
99786,6,10
99787,7,86
90031,1,50
90030,1,21
87822,7,35
87823,1,21
87820,4,98
87821,1,21
87826,8,52
87827,6,10
87824,7,86
87825,5,55
87828,1,21
87829,8,46
92746,7,21
90039,6,10
90038,9,17
109048,8,91
109049,7,86
109042,1,31
109043,6,66
109040,6,12
109041,1,79
109046,1,52
109047,7,28
109044,1,36
109045,7,28
100193,7,86
100192,9,30
100191,6,10
100190,6,10
100197,3,79
100196,8,44
100195,1,12
92661,1,21
100199,1,97
100198,1,21
92668,8,52
92669,1,21
2654756,0,43
2654754,6,66
2645639,8,11
1500655,8,98
88474,7,7
85538,7,86
85539,1,21
88475,7,21
85532,0,85
85533,5,55
85530,7,86
85531,4,15
85536,7,86
85537,1,21
85534,1,69
85535,1,21
103793,8,98
103794,6,10
103795,6,66
88472,7,86
103797,8,52
1324132,7,28
856346,4,38
856347,7,35
856345,1,4
111729,7,98
146790,4,81
2811850,9,34
87000,5,38
87001,4,15
87002,1,21
87003,1,21
87004,7,86
87005,1,12
87006,6,46
87007,8,70
87008,1,21
87009,7,35
1213431,8,35
86753,1,41
86752,1,26
86751,8,48
86750,6,10
86757,1,21
86756,1,21
86755,8,51
86754,1,79
86759,1,21
86758,1,92
1087895,1,21
86553,7,28
1087897,1,30
112526,1,33
88809,1,79
88808,8,92
88805,8,46
88804,1,33
88807,1,33
88806,9,19
88801,9,19
88800,3,39
88803,8,45
88802,1,21
89176,1,33
89177,1,21
89174,7,12
89175,5,45
89172,6,10
89173,7,86
89170,4,15
89171,8,38
96378,8,38
96379,8,52
89178,7,21
89179,7,86
625709,6,86
94202,6,66
94203,8,52
94201,8,52
94206,7,86
94207,8,59
94204,7,28
94205,1,52
94208,6,66
94209,1,21
87585,6,66
87584,7,86
87587,7,35
87586,1,12
87581,5,55
87580,8,52
87583,0,85
87582,8,13
87589,4,40
87588,1,21
118022,7,7
118023,8,41
118020,8,69
118021,3,41
118026,8,39
118027,8,59
118024,6,10
118025,3,36
118028,7,86
118029,3,52
99201,3,24
99200,8,98
99203,7,86
99202,3,79
99205,3,92
99204,8,91
99207,6,10
99206,6,10
99209,3,24
99208,9,59
104345,6,66
95559,8,92
95558,3,72
95555,7,35
2462772,6,10
95557,5,55
95556,6,66
95551,3,24
95550,8,83
95553,9,34
95552,7,27
90008,8,86
90009,7,86
90004,8,86
