,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000,hc_10,hc_100,hc_1000
92821,4,7,959,8,47,295,1,10,582
92822,4,47,948,2,48,757,0,83,231
92823,4,4,390,4,18,15,1,70,512
92828,4,4,28,6,7,74,1,30,180
92829,4,10,30,7,60,270,1,0,861
96565,4,31,748,4,51,813,1,92,280
96564,4,5,353,4,8,800,1,44,770
96567,4,4,162,6,97,507,1,66,132
96566,3,61,526,9,61,473,1,86,458
96561,4,47,110,2,48,419,0,81,30
96563,4,65,392,3,96,303,1,12,725
96562,9,10,440,4,34,56,1,44,778
96569,4,4,212,8,20,128,1,1,496
96568,4,40,876,5,20,296,1,40,51
91695,4,63,270,4,93,741,1,8,418
91692,0,67,992,0,55,543,1,45,3
91693,4,31,964,7,55,276,1,79,937
105121,4,89,558,4,7,691,1,1,217
105120,4,31,823,0,71,300,1,2,464
105123,4,4,28,0,71,15,1,1,477
105122,4,19,4,4,53,882,1,8,418
105125,0,34,434,5,97,17,1,55,807
105124,9,22,762,2,74,111,1,8,746
105127,4,31,945,4,17,300,1,8,746
105126,4,4,47,8,62,816,1,1,975
105129,4,4,430,9,99,804,1,13,12
