,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000,hc_10,hc_100,hc_1000
85123,7,5,816,7,64,946,9,71,265
85122,4,80,665,4,29,362,2,6,789
85129,4,43,875,4,29,85,2,31,522
85128,4,85,250,3,53,967,1,29,619
95234,7,45,245,7,4,129,9,92,647
95235,7,52,804,7,16,144,9,11,203
95236,6,4,226,1,43,647,8,69,848
95237,9,8,497,4,81,263,2,6,222
95230,0,32,357,9,94,545,2,25,537
95231,1,87,513,8,71,217,1,49,445
95232,4,13,3,3,30,953,2,75,919
95233,0,68,35,0,14,942,9,60,648
95238,0,67,718,4,12,888,2,25,285
95239,7,45,885,7,29,734,9,92,991
2098227,9,8,243,4,28,115,2,6,370
110185,7,97,147,7,4,295,9,11,150
110184,9,34,87,4,26,923,9,71,484
110187,7,64,686,9,54,323,9,14,321
110186,7,38,686,7,4,853,9,11,8
110181,0,19,629,9,97,861,9,60,805
110180,4,80,51,3,99,199,4,23,384
110183,9,17,313,4,22,9,5,56,66
110182,6,93,303,1,24,607,3,80,47
110189,0,2,417,9,17,312,0,30,137
110188,7,52,375,7,16,144,9,60,413
93171,7,24,885,7,16,822,9,60,758
93170,7,52,885,7,16,822,9,60,758
93173,7,5,123,7,64,354,9,60,54
93172,4,31,703,3,48,410,2,85,778
104236,0,98,703,3,48,256,2,85,778
93174,0,2,417,9,1,312,0,30,137
93177,7,5,784,7,64,730,9,11,914
93176,0,16,170,9,83,117,2,78,879
93179,4,50,704,3,69,217,1,49,227
93178,8,51,918,0,18,754,5,76,200
104238,8,60,35,0,60,539,4,18,872
104239,8,60,35,0,60,456,4,18,872
110238,9,35,440,4,62,237,2,57,369
110237,8,60,568,0,60,166,4,18,872
110236,4,50,202,3,69,460,2,54,965
110235,4,41,247,3,52,25,2,54,175
110234,4,41,396,3,52,25,2,54,175
110233,4,17,313,3,49,71,1,49,704
110232,4,40,929,1,84,375,5,58,560
110231,9,51,815,4,48,237,5,37,909
110230,8,68,35,0,14,754,4,18,620
104588,8,68,69,0,14,30,4,18,376
104589,4,80,615,3,69,217,1,49,227
104585,9,17,358,4,49,71,3,43,751
104586,0,68,896,9,97,942,4,9,346
104587,4,31,859,9,48,256,2,85,105
104580,9,34,442,4,26,231,2,73,687
104582,4,9,579,3,52,510,2,54,965
1100810,9,52,521,4,16,253,9,71,896
98141,8,6,392,0,1,554,5,37,258
98140,5,69,721,2,15,324,0,10,550
98143,3,10,826,6,6,83,6,21,435
98142,5,69,591,2,15,910,0,10,402
98145,4,43,159,1,12,679,2,25,831
98144,7,67,159,9,12,679,2,25,746
98147,8,54,949,0,45,448,2,25,746
98146,4,41,293,3,52,165,1,77,417
98149,4,41,93,3,52,25,1,77,417
98148,7,52,804,7,16,360,9,60,758
105189,4,80,811,3,29,851,2,48,752
105188,7,52,375,7,16,823,9,60,497
88113,0,91,364,3,80,795,4,36,600
97750,7,52,804,7,16,628,9,60,758
88111,6,4,525,1,77,391,3,22,486
93823,6,32,248,1,94,866,2,16,284
93822,4,31,762,1,25,377,2,31,171
93821,0,32,357,9,94,545,2,16,944
93820,7,97,371,7,4,360,9,11,970
93827,0,19,170,9,83,117,4,36,228
93826,0,85,250,9,53,274,1,29,619
93825,4,62,11,7,38,925,1,7,520
93824,7,45,126,7,4,57,9,92,647
97755,4,63,454,3,66,335,2,32,275
93829,4,63,414,3,66,579,2,32,275
93828,7,45,126,7,4,734,9,92,647
88116,7,45,245,7,4,129,9,11,203
109198,9,5,970,4,64,778,9,60,54
88115,0,98,306,9,83,775,2,13,515
109199,9,8,200,4,87,60,9,60,992
88114,4,42,157,3,29,218,2,48,888
102329,7,24,767,7,4,734,5,58,42
102322,7,97,147,7,4,295,9,11,150
102323,7,45,816,7,4,294,9,92,618
102320,7,5,404,4,64,778,9,71,265
102321,9,8,915,4,1,60,4,9,824
